weaponid,r1,r2,r3,r4,r5
43,"Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s.","Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing 80% AoE ATK DMG. Opponents affected by Cryo are dealt 200% ATK DMG. Can only occur once every 10s."
44,"After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 10 Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked.","After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 12.5 Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked.","After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 15 Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked.","After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 17.5 Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked.","After the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 20% Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked."
45,"Normal Attacks deal an additional 160 DMG. Can only occur once every 10s.","Normal Attacks deal an additional 200 DMG. Can only occur once every 10s.","Normal Attacks deal an additional 240 DMG. Can only occur once every 10s.","Normal Attacks deal an additional 280 DMG. Can only occur once every 10s.","Normal Attacks deal an additional 320% DMG. Can only occur once every 10s."
46,"Increases Normal Attack DMG by 16 and Charged Attack DMG by 12 When the equipping character's Energy reaches 100%, this effect is increased by 100%.","Increases Normal Attack DMG by 20 and Charged Attack DMG by 15 When the equipping character's Energy reaches 100%, this effect is increased by 100%.","Increases Normal Attack DMG by 24 and Charged Attack DMG by 18 When the equipping character's Energy reaches 100%, this effect is increased by 100%.","Increases Normal Attack DMG by 28 and Charged Attack DMG by 21 When the equipping character's Energy reaches 100%, this effect is increased by 100%.","Increases Normal Attack DMG by 32% and Charged Attack DMG by 24% When the equipping character's Energy reaches 100%, this effect is increased by 100%."
47,"Obtain 12 All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 20 for 8s.","Obtain 15 All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 25 for 8s.","Obtain 18 All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 30 for 8s.","Obtain 21 All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 35 for 8s.","Obtain 24% All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 40% for 8s."
48,"When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%.","When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%.","When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%.","When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%.","When HP is above 90%, increases CRIT Rate by 14/18/22/24/28%."
49,,,,,
50,,,,,
51,"Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s.","Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s.","Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s.","Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s.","Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can only occur once every 1s."
52,"Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 12 for 16s. Max 3 stacks. This character will gain 12 All Elemental DMG Bonus when they possess 3 stacks.","Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 15 for 16s. Max 3 stacks. This character will gain 15 All Elemental DMG Bonus when they possess 3 stacks.","Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 18 for 16s. Max 3 stacks. This character will gain 18 All Elemental DMG Bonus when they possess 3 stacks.","Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 21 for 16s. Max 3 stacks. This character will gain 21 All Elemental DMG Bonus when they possess 3 stacks.","Gains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 24% for 16s. Max 3 stacks. This character will gain 24% All Elemental DMG Bonus when they possess 3 stacks."
53,"Increases Elemental Skill DMG by 6 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 7.5 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 9 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 10.5 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 12% After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
54,"Increases Elemental Skill DMG by 6 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 7.5 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 9 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 10.5 After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Increases Elemental Skill DMG by 12% After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
55,"Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%.","Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%.","Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%.","Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%.","Increases DMG against enemies affected by Pyro or Electro by 20/24/28/32/36%."
56,"For every character in the party who hails from Liyue, the character who equips this weapon gains 6 ATK increase and 2 CRIT Rate increase.","For every character in the party who hails from Liyue, the character who equips this weapon gains 7 ATK increase and 3 CRIT Rate increase.","For every character in the party who hails from Liyue, the character who equips this weapon gains 8 ATK increase and 4 CRIT Rate increase.","For every character in the party who hails from Liyue, the character who equips this weapon gains 9 ATK increase and 5 CRIT Rate increase.","For every character in the party who hails from Liyue, the character who equips this weapon gains 10% ATK increase and 6% CRIT Rate increase."
57,"For every character in the party who hails from Liyue, the character who equips this weapon gains 7 ATK increase and a 3 CRIT Rate increase. This effect stacks up to 4 times.","For every character in the party who hails from Liyue, the character who equips this weapon gains 8 ATK increase and a 4 CRIT Rate increase. This effect stacks up to 4 times.","For every character in the party who hails from Liyue, the character who equips this weapon gains 9 ATK increase and a 5 CRIT Rate increase. This effect stacks up to 4 times.","For every character in the party who hails from Liyue, the character who equips this weapon gains 10 ATK increase and a 6 CRIT Rate increase. This effect stacks up to 4 times.","For every character in the party who hails from Liyue, the character who equips this weapon gains 11% ATK increase and a 7% CRIT Rate increase. This effect stacks up to 4 times."
58,"Increases Movement SPD by 10%. When in battle, earn a 6 Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat.","Increases Movement SPD by 10%. When in battle, earn a 8 Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat.","Increases Movement SPD by 10%. When in battle, earn a 10 Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat.","Increases Movement SPD by 10%. When in battle, earn a 12 Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat.","Increases Movement SPD by 10%. When in battle, earn a 14% Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat."
59,"Increases Elemental Burst DMG by 12 When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 100 ATK as AoE DMG. This effect can occur once every 15s.","Increases Elemental Burst DMG by 15 When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 125 ATK as AoE DMG. This effect can occur once every 15s.","Increases Elemental Burst DMG by 18 When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 150 ATK as AoE DMG. This effect can occur once every 15s.","Increases Elemental Burst DMG by 21 When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 175 ATK as AoE DMG. This effect can occur once every 15s.","Increases Elemental Burst DMG by 24% When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that charges and deals 200% ATK as AoE DMG. This effect can occur once every 15s."
60,"Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Electro by 12/15/18/21/24%."
61,"Triggering an Elemental reaction grants a 8 Elemental DMG Bonus for 10s. Max 2 stacks.","Triggering an Elemental reaction grants a 10 Elemental DMG Bonus for 10s. Max 2 stacks.","Triggering an Elemental reaction grants a 12 Elemental DMG Bonus for 10s. Max 2 stacks.","Triggering an Elemental reaction grants a 14 Elemental DMG Bonus for 10s. Max 2 stacks.","Triggering an Elemental reaction grants a 16% Elemental DMG Bonus for 10s. Max 2 stacks."
62,"Increase Shield Strength by 20 Scoring hits on opponents increases ATK by 4 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increase Shield Strength by 25 Scoring hits on opponents increases ATK by 5 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increase Shield Strength by 30 Scoring hits on opponents increases ATK by 6 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increase Shield Strength by 35 Scoring hits on opponents increases ATK by 7 for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Increase Shield Strength by 40% Scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
63,"Aimed Shot hits on weak spots deal an additional 100 ATK DMG as CRIT DMG. Can only occur once every 10s.","Aimed Shot hits on weak spots deal an additional 125 ATK DMG as CRIT DMG. Can only occur once every 10s.","Aimed Shot hits on weak spots deal an additional 150 ATK DMG as CRIT DMG. Can only occur once every 10s.","Aimed Shot hits on weak spots deal an additional 175 ATK DMG as CRIT DMG. Can only occur once every 10s.","Aimed Shot hits on weak spots deal an additional 200% ATK DMG as CRIT DMG. Can only occur once every 10s."
64,"Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 1 Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 2 Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 3, Mistsplitter's Emblem provides a 8 Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 16 Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently.","Gain a 12% Elemental DMG Bonus for every element and receive the might of Mistsplitter's Emblem. At stack levels 28% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
65,"Normal Attack hits on opponents increase Elemental Skill DMG by 20 for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 20 for 5s.","Normal Attack hits on opponents increase Elemental Skill DMG by 25 for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 25 for 5s.","Normal Attack hits on opponents increase Elemental Skill DMG by 30 for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 30 for 5s.","Normal Attack hits on opponents increase Elemental Skill DMG by 35 for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 35 for 5s.","Normal Attack hits on opponents increase Elemental Skill DMG by 40% for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 40% for 5s."
66,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12 A maximum of 40 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.15 A maximum of 50 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.18 A maximum of 60 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.21 A maximum of 70 increased Elemental Burst DMG can be achieved this way.","For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.24% A maximum of 80% increased Elemental Burst DMG can be achieved this way."
67,"Increases Energy Recharge by 24 for 10s after using an Elemental Skill.","Increases Energy Recharge by 30 for 10s after using an Elemental Skill.","Increases Energy Recharge by 36 for 10s after using an Elemental Skill.","Increases Energy Recharge by 42 for 10s after using an Elemental Skill.","Increases Energy Recharge by 48% for 10s after using an Elemental Skill."
68,,,,,
69,"Each Elemental Orb or Particle collected restores 1 HP.","Each Elemental Orb or Particle collected restores 1.25 HP.","Each Elemental Orb or Particle collected restores 1.5 HP.","Each Elemental Orb or Particle collected restores 1.75 HP.","Each Elemental Orb or Particle collected restores 2% HP."
70,,,,,
71,"Elemental Skill and Elemental Burst DMG increased by 12 After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 1 The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others.","Elemental Skill and Elemental Burst DMG increased by 15 After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 2 The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others.","Elemental Skill and Elemental Burst DMG increased by 18 After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 3 The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others.","Elemental Skill and Elemental Burst DMG increased by 21 After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 4 stacks of Ashen Nightstar are present, ATK is increased by (10 The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others.","Elemental Skill and Elemental Burst DMG increased by 24% After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 12.5 The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others."
72,"This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66.","This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66.","This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66.","This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66.","This weapon's effect is only applied on the following platform(s):'PlayStation Network' Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks. Additionally, when Aloy equips Predator, ATK is increased by 66."
73,"HP increased by 20% Additionally, provides an ATK Bonus based on 1.2% of the wielder's Max HP.","HP increased by 25% Additionally, provides an ATK Bonus based on 1.5% of the wielder's Max HP.","HP increased by 30% Additionally, provides an ATK Bonus based on 1.8% of the wielder's Max HP.","HP increased by 35% Additionally, provides an ATK Bonus based on 2.1% of the wielder's Max HP.","HP increased by 40% Additionally, provides an ATK Bonus based on 2.4% of the wielder's Max HP."
74,"On hit, increases ATK by 3.2 for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%.","On hit, increases ATK by 3.9 for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%.","On hit, increases ATK by 4.6 for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%.","On hit, increases ATK by 5.3 for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%.","On hit, increases ATK by 6% for 6s. Max 7 stacks. Can only occur once every 0.3s. Full stacks increase Skill DMG by 12/16/20/24/28%."
75,"On hit, Normal or Charged Attacks have a 50% chance to deal an additional 240 ATK DMG to enemies within a small radius. Can only occur once every 15s.","On hit, Normal or Charged Attacks have a 50% chance to deal an additional 300 ATK DMG to enemies within a small radius. Can only occur once every 15s.","On hit, Normal or Charged Attacks have a 50% chance to deal an additional 360 ATK DMG to enemies within a small radius. Can only occur once every 15s.","On hit, Normal or Charged Attacks have a 50% chance to deal an additional 420 ATK DMG to enemies within a small radius. Can only occur once every 15s.","On hit, Normal or Charged Attacks have a 50% chance to deal an additional 480% ATK DMG to enemies within a small radius. Can only occur once every 15s."
76,"Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s.","Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s.","Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s.","Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s.","Aimed Shot hits on weak points increase Movement SPD by 10% and ATK by 6% for 10s."
77,"After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks.","After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks.","After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks.","After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks.","After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks."
78,"Using an Elemental Burst regenerates 4 Energy every 2s for 6s. Additionally, all party members will regenerate 4 HP every 2s for this duration.","Using an Elemental Burst regenerates 4.5 Energy every 2s for 6s. Additionally, all party members will regenerate 4.5 HP every 2s for this duration.","Using an Elemental Burst regenerates 5 Energy every 2s for 6s. Additionally, all party members will regenerate 5 HP every 2s for this duration.","Using an Elemental Burst regenerates 5.5 Energy every 2s for 6s. Additionally, all party members will regenerate 5.5 HP every 2s for this duration.","Using an Elemental Burst regenerates 6 Energy every 2s for 6s. Additionally, all party members will regenerate 6% HP every 2s for this duration."
79,"On hit, Normal or Charged Attacks increase Base ATK and DEF by 4 for 6s. Max 4 stacks. Can only occur once every 0.3s.","On hit, Normal or Charged Attacks increase Base ATK and DEF by 4.5 for 6s. Max 4 stacks. Can only occur once every 0.3s.","On hit, Normal or Charged Attacks increase Base ATK and DEF by 5 for 6s. Max 4 stacks. Can only occur once every 0.3s.","On hit, Normal or Charged Attacks increase Base ATK and DEF by 5.5 for 6s. Max 4 stacks. Can only occur once every 0.3s.","On hit, Normal or Charged Attacks increase Base ATK and DEF by 6% for 6s. Max 4 stacks. Can only occur once every 0.3s."
80,"Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 20 for 12s.","Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 25 for 12s.","Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 30 for 12s.","Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 35 for 12s.","Upon causing an Overloaded, Melt, Burning, Vaporize, or a Pyro-infused Swirl reaction, increases Base ATK by 40% for 12s."
81,"Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%.","Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%.","Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%.","Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%.","Increases DMG against enemies affected by Hydro or Electro by 20/25/30/35/40%."
82,"Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%.","Increases DMG against enemies affected by Hydro or Pyro by 12/15/18/21/24%."
83,"Defeating an opponent restores 8 HP.","Defeating an opponent restores 10 HP.","Defeating an opponent restores 12 HP.","Defeating an opponent restores 14 HP.","Defeating an opponent restores 16% HP."
84,"DEF is increased by 28 Normal and Charged Attack DMG is increased by 40 of DEF.","DEF is increased by 35 Normal and Charged Attack DMG is increased by 50 of DEF.","DEF is increased by 42 Normal and Charged Attack DMG is increased by 60 of DEF.","DEF is increased by 49 Normal and Charged Attack DMG is increased by 70 of DEF.","DEF is increased by 56% Normal and Charged Attack DMG is increased by 80% of DEF."
85,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
86,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
87,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
88,"Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks.","Upon damaging an enemy, increases CRIT Rate by 8%. Max 5 stacks. A CRIT hit removes all stacks."
